Goal,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5,Rep_6,Rep_7
easter,Eggs,Bunnies,Chocolate,Flowers,Crosses,,
ecology,Recycling symbol,Trees,Birds,Grassland,Water droplet,,
economics,Pie chart,Dollar bills,Supply demand curve,Economic model equation,Stock market graph,,
economy,Money,graph showing growth,stock market ticker,currency exchange rates,factory,,
editorial,Typewriter,Newspaper article,Magazine cover,Editor’s desk,Pen and paper,,
education,Blackboard,school bag,Pencil,Globe,Library,,
effervescence,Bubbles,Fizzing sound,Carbonated drink,Champagne bottle opening,Foam,,
egomania,Mirror,Crown,Trophy,Statue,Throne,,
elite,Luxury cars,Mansions,Private jet,Expensive watches,Champagne,,
emotion,face expressions,color palette,body language,music notes,weather symbols,,
empire,Rome Colosseum,Roman Soldier Armor,Julius Caesar Portrait,Roman Legion Shield,Aqueduct,,
employ,Job Interview,Resume,Contract,Salary,Workstation,,
employment,Resume,Job Interview,Businessman shaking hands,office building,briefcase,,
emulation,Console controller,Retro video game system,Cartridge,Joystick,TV screen,,
enchantment,Magic wand,Spellbook,Fairy dust,Crystal ball,Unicorn,,
ending,Full stop punctuation mark,sunset,person waving goodbye,closed door,final chapter,,
enemy,Bombs falling from plane,soldiers fighting,flags waving,fire burning,destruction,,
engineer,Tools,construction site,mathematical equations,CAD drawing,blueprints,,
engineering,gears,tools,circuit boards,drawings,calculations,,
enjoyment,laughing faces,smiley emojis,fireworks display,balloons floating up into sky,hands clapping together,,
enlightened,Buddha statue,Zen garden,meditation pose,chakra symbol,Om sign,,
enlistment,Army uniform,Camouflage gear,Boot camp exercises,Military flag,Enlistment papers,,
enthusiasm,Smiling face,Thumbs up sign,Jumping person,Applause,Party decorations,,
envy,Green eye color,broken heart,two-faced mask,snake,rotten apple,non-existence,
equal,Math symbol,Balance scales,Two identical items side by side,Mirror reflection,Double helix DNA,,
equality,Balance scales,Equal sign (=),Rainbow flag,Hands holding hands,Fist raised,memes,
equilibrium,Balance beam,Pendulum,Equation with equal signs,Weighted scale,Level water surface,,
escape,Running person silhouette,Bird flying away,Open door,Locked door behind,Escape rope ladder hanging from,,
essence,Vial,Perfume bottle,Flower petals,Aromatherapy diffuser,Candle flame,,
estimate,Calculator,Graph showing data points,formula written on paper,bar chart,dollar bills,,
eternity,infinity symbol,timelessness,universe,black hole,spiral galaxy,,
ethics,Scales of Justice,Handshake Agreement,Golden Rule text,Good Samaritan story,Compassionate,,
ethnic,Traditional clothing,traditional food,cultural artifacts,language,customs,,
evaluation,Test papers,Exam room,Grading scale,Red pen markings,Report cards,,
evil,Skull,Devil Horns,Fire flames,Scythe,Dark clouds,,
evolution,Darwin,finch,tree,fossil,human skeleton,,
excellence,trophy,certificate,ribbon,medal,applause,,
exclusion,Lock,Closed door,Red “X”,Social media unfollowing icon,Group photo without person,,
exclusive,Luxury Car,Private Jet,Rolex Watch,Red Carpet,VIP Lounge,,
excuse,Sorry!,Apology Letter,Regretful Face,Handshake,Make-up Gift Box,,
exhaustion,Sleepy face,drooping eyes,yawn,empty coffee cup,collapsed figure,,
exhilaration,Jumping for joy,arms up,smile,rollercoaster,fireworks,,
exile,Prisoner,Island,Banishment,Abandonment,Outcast,,
expedition,Tent,compass,backpack,Mountain peak,sleeping bag,,
experience,Job,certificate,diploma,skills,knowledge,,
experiment,test tubes,Bunsen burner,Petri dish,microscope,scientist working at lab bench,,
expert,Glasses,Lab coat,Scientific equipment,Whiteboard full of equations,Bookshelf with technical books,,
expiration,Milk carton,Calendar page,Clock face,Trash bin,Time bomb,,
extinction,Dinosaur skeleton,Endangered species list,Smokestacks polluting environment,Empty nest,Forest,,
extraction,Oil Rig,Gold mine,Coal Mine,Water well,Hydraulic fracturing equipment,,
extreme,Cliff jumping,Bungee jumping,Free solo climbing,Wingsuit flying,Extreme sports gear,,
exuberance,fireworks,balloons,confetti,party poppers,sparklers,,
exultation,Confetti,Fireworks display,trophy,champagne bottle popping,smiling faces cheering,,
faith,Cross,Rosary beads,Bible,Prayer pose hands together,Worship service in church,,
faithful,Cross necklace,Bible,Prayer hands,Church building,Faithful person praying,,
fame,red carpet,golden statue,paparazzi camera flash,applause hands,celebrity magazine cover,,
fancy,Champagne flutes,Expensive dress,Limousine,Fine dining restaurant interior,Luxury watch,,
fashion,Runway,Designer clothes,Shopping mall,Fashion model,High heels shoes,,
fast,Racecar,Roadrunner cartoon character,Speedometer gauge needle pointing high,Jet engine exhaust,lightning,,
fatherland,Flag,national monument,coat of arms,national anthem,traditional costume,,
fatigue,bed,pillow,sleep,tired eyes,clock,,
fear,Skull,Spider web,Dark room,Shadows,Darkness,,
february,snowflakes,hearts,groundhog day,valentine’s day card,presidents’ day sale,,
fed,Federal Reserve Building,Money printing press,Interest rate chart,Dollar bills,Financial reports,,
federal,Capitol building,American flag,eagle,Constitution document,Supreme Court,,
federation,Flag,Constitution,Court House,Capitol Building,Statue of Liberty,,
feedback,Megaphone,Loudspeaker,Graph,Report Card,Performance review,,
fellowship,Friends,group photo,campfire,sharing food,laughter,,
feminization,lipstick,high heels,hair bow,dress,earrings,,
fertility,pregnant woman,baby,ultrasound image,birth certificate,family planning clinic,,
fervor,Flames,Burning candle,Molten metal,Hot coals,Volcano eruption,,
feudalism,King,castle,Knight on horseback,peasants working field,Lord of Manor,,
fever,thermometer,sweat drops,medicine bottle,doctor’s coat,bed rest,,
fiction,Fantasy novel cover,Sci-Fi spaceship illustration,Comic Book panels,Movie Poster,Pop Art painting,,
fidelity,wedding ring,heart symbol,two hearts intertwined,couple holding hands,vow exchange scene,,
finance,Stock exchange graph,money,bank building,safe,financial statement,,
find,Treasure map,treasure chest,magnifying glass,binoculars,compass,explosion,
finding,Compass,Map,GPS,Hiking boots,Binoculars,,
finish,Checkered flag,Finish line,Podium,Champagne bottle,Winner’s trophy,,
finishing,Medal,Podium,Victory gesture,Finish line tape,Champagne bottle,,
fit,Gym equipment,healthy food,exercise routine chart,measuring tape,before/after picture comparison,,
fitness,Dumbbells,Barbell,Exercise machine,Jump rope,Water bottle,,
fix,wrench,screwdriver,tape measure,hammer,nails,,
fixation,Eyes,Gaze,Camera lens,Stare,Glance,,
flexibility,yoga pose,dancer,gymnast,elastic band,rubber ball,,
florescence,flower,plant,garden,nature,color palette,,
flux,Magnet,Electric current,Circuit diagram,Electromagnetic field lines,Flux capacitor,,
focalization,Eyes,telescope,camera lens,microscope,glasses,,
focus,Camera lens,Target,Bullseye,Eye Chart,Concentration,,
foe,Enemy soldier,angry face,bomb icon,war zone map,burning building,,
fondness,Heart emoji,Hug,Kiss,Chocolate box,Love letter,,
fool,Clown face,Donkey ears,Banana peel,Foolscap paper,Card deck,,
forenoon,Morning coffee,Sunrise,Alarm clock,Breakfast table,Newspaper,,
forgiveness,handshake between two people,hug between two persons,tears,heart-shaped candy box,broken chain,,
formation,School,Army,Gymnastics team,Dance troupe,Music band,,
forties,Swing dance,pinup girl poster,vintage radio,fedora hat,cigarette holder,,
fortnight,Battle royale game,Dance moves,Seasonal events,Skins,Weapons,,
fossilization,Skeleton,Rock layers,Petrified wood,Fossils,Geological formation,,
foster,Parents,Child,adoption agency,Home,family tree,,
framework,Structure,Foundation,Scaffold,Support system,Outline,,
france,french flag,baguette bread,wine glass,beret hat,eiffel tower silhouette,,
fraternity,Greek letters,Pledge Pin,Brotherhood Symbol,House Party,Social Events,,
free,Open field,Sky,Bird flying,Running person,Empty space,,
freedom,Eagle,open road,Statue of Liberty,unlocked doors,breaking chains,,
freeman,American flag,Declaration of Independence,Freedom statue,Voting ballot box,Constitution document,,
friendliness,Smiling Face,Hug,Shaking Hands,Complimenting Someone,Helping someone out,,
friendship,Smile,hug,laughing together,sharing food,helping each other out,monster under bed,
fright,Ghost,haunted house,scary movie poster,spooky tree,darkness,,
frontier,Cowboy hat,saddle,wagon wheel,sunset over prairie,cattle drive,,
fulfillment,Achievement,Success,Smiling face,Trophy,Graduation gown,,
fun,Party balloons,clown face,dance shoes,beach ball,roller coaster ride,,
funny,Clown face,Laughing emoticon,Silly hat,Banana peel slip,Whoopie cushion,,
furies,Greek Mythology Characters,Torches,Snakes,Whips,Mask,,
fury,Anger,Rage,Wrath,Fury,Vengeance,,
future,Spaceship,hologram,robot,virtual reality glasses,futuristic cityscape,,
gender,Female icon,Male icon,non-binary symbol,Pink color palette,Blue color palette,,
genealogy,Family tree,DNA helix,Ancestors names,Birth records,Coat of arms,,
general,Army uniform,Stars on epaulets,Military medals,Helmet,War zone map,,
generation,baby,child,teenager,young adult,older person,,
genius,Einstein,Tesla,Newton,Edison,Da Vinci,,
genome,DNA Double Helix,Chromosomes,Cells under microscope,Genetic code written down,Scientist at work,,
genotype,DNA Double Helix structure,Chromosomes,Nucleotides,Base pairs,Mutation symbol,,
germination,Sprouting seedling,Seed packet,Soil,Water droplets,Sunlight,Statue,
ghost,White sheet,Scary face,Haunted house,Creaking door,Ouija Board,,
girlhood,Dollhouse,Teddy bear,Hair ribbons,Pigtails,Ballet slippers,,
give,Gift box,Money,Time,Love,Knowledge,happy faces,
gladness,Smiley face,Balloons,Cake,Party decorations,Confetti,black clothing,
glee,music notes,musical instruments,stage,microphones,dancers,,
globalization,Globe Icon,Connected Dots Map,Different Languages Flag,Trade Agreement Document,Factory Smoke Stack,,
gloom,Cloudy sky,Dark forest,Raindrops,Umbrella,Sad face emoji,,
glory,golden trophy,laurel wreath,Olympic rings,crown,spotlight,,
goal,soccer ball,basketball hoop,American football field end zone,checkered flag,finish line tape,,
god,Religious Texts,Angels,Prayer Beads,Holy Water,Cross,,
goodness,heart shape,flowers,smiley face emoji,nature scene,rainbow,,
governance,Government building,Political system diagram,voting ballot box,law book,legislative chamber,,
government,Capital building,Flag,Constitution document,President portrait,Congress session,,
grace,ballet dancer,piano keys,flower petals,bird flying,water droplet splashing,cheerfulness,
graduate,Graduation Cap,Tassel,Diploma,College Students,Graduation Ceremony,,
grammar,Syntax tree,sentence structure diagram,language textbooks,word lists,punctuation marks,,
gratitude,Thank you note,Flowers,Hug,Present box,Heart,,
greatness,Mountains,Lion,Fireworks,Gold medal,Galaxy,,
grief,Tears,funeral wreath,black clothes,empty chair,grave,,
grievance,Law book,Courtroom,Judge's gavel,Lawyer's briefcase,Legal documents,,
growing,plants,trees,flowers,garden,vegetables,,
growth,Tree,Plant,Flower,Human figure increasing size,Business Graph,,
guarantee,Seal,Shield,Handshake,Money back,Certificate,,
guess,Question Mark,Thinking Bubble,Light Bulb Moment,Brainstorming Notes,Ideas,victory gesture,
guidance,Compass,map,GPS device,directional arrows,road signs,,
guilt,jail cell bars,crying face emoji,police badge,red angry eyes,courtroom gavel,,
gusto,Wine glass,restaurant table setting,waiter serving food,fine dining scene,dinner plate,,
habit,smoking cigarette,coffee cup,toothbrush,alarm clock,morning jog shoes,,
halftime,Football field,Cheerleaders,Crowd,Referees,Scoreboard,,
halloween,Pumpkins,Costumes,Trick or Treat bag,Haunted House,Ghosts,,
happiness,Smiling face emoji,Heart eyes emoji,Sunflower,Dancing person emoji,Hugging couple emoji,,
harm,fire,explosion,knife,gun,broken bones,,
harmony,Music notes,Piano keyboard,Colorful pattern,Nature landscape painting,Symphony Orchestra playing instruments,,
haste,clock,stopwatch,fast food bag,express delivery truck,traffic jam,,
hate,Frowning Face,Broken Heart Emoji,Fist Bump Emoji,Middle Finger Gesture,Scowl Expression,,
hatred,Angry face,fist,broken heart,fire,crossbones,,
haunt,Ghostly figures,abandoned house,Cemetery,Dark forest,Flickering lights,,
healing,hospital bed,medical equipment,surgical instruments,doctor holding hands,heart,,
health,Running shoes,Yoga mat,Apple fruit,Doctor stethoscope,healthy food,,
hearing,Earphones,microphone,sound waves,speaker,radio,,
heartland,Wheat field,barn,silo,tractor,farm animals,,
heating,radiators,Firewood,Fireplace,Blankets,Hot tea mug,,
heaven,angels,clouds,harps,gates,doves,,
heavy,weightlifting barbell,dumbbells,truck,crane,boulder,,
heir,Crown,Throne,Royal Scepter,Castle,Jewels,,
hell,Devil,flames,torture devices,Demons,Satanist symbols,,
hellhole,flames,demons,pitchforks,fire,devil,,
help,Question mark,SOS signal,Compass rose,Lifebuoy ring,First aid kit,,
hereafter,Angel wings,Heaven gate,Divine light,Cross,Clouds,,
heredity,DNA double helix,Mendelian inheritance chart,Family tree,Genetic code table,Chromosomes,,
heritage,Family Tree,Heirloom jewelry,Ancestors' photos,Old documents,family traditions,,
hero,superhero costume,cape,shield,weapon,symbol,,
hierarchy,Pyramid,Organization chart,Tree Diagram,Flowchart,Chain link,,
hindu,Om symbol,Lord Ganesha Statue,Saree,Hindu temple,Indian classical dance,,
history,ancient ruins,scrolls,old documents,time machine,archaeological dig site,,
holiday,Christmas tree,Hanukkah menorah,Santa Claus,Kwanzaa kinara candles,,,
holidays,Christmas tree,Halloween Pumpkin,Easter Bunny,Birthday cake,Party hat,,
holiness,Cross,Halo,Dove,Rosary beads,Bible,,
holy,Church,Cross,Bible,Angel Wings,halo,,
hometown,House,Neighborhood streets,School,Favorite restaurant,Local park,,
honesty,Scales,courtroom,contract,handshake,justice statue,,
honor,Crown,sword,diploma,award statue,victory laurel wreath,,
hope,rainbow after rain,sunrise over horizon,smiling face,flower blooming from crack in pavement,l,,
hopelessness,Sadness emoji,Darkness,Empty street at night,Broken heart symbol,Cloudy day,,
horror,blood,axe,ghost,haunted house,scream,,
hospitalization,Stethoscope,Hospital bed,Patient gown,IV bag,Nurses station,,
hostile,Guns,knives,bombs,soldiers,tanks,,
hostility,clenched fists,war zone,broken window,screaming face,riot police,,
hour,clock,sundial,minute hand,second hand,time zone map,,
humanity,hand holding globe,human silhouette,family walking together,crowd of people,handshake,,
humor,Funny face expression,laughter,jokes,Comedian onstage,comedy skit,,
hunger,empty plate,fork and knife,clock indicating time for dinner,fridge open,stomach growling sound,,
hurry,Running shoes,Stopwatch,Traffic lights,Deadline Calendar,Fast food,,
hygiene,Soap,toothbrush,comb,razor,deodorant,,
idea,Lightbulb,Brainstorming Session,Whiteboard filled with notes,Post-it note,Research,,
ideology,Flag,Speech bubble,Megaphone,Protest Sign,Statue,,
idle,Chair,computer screen,books,coffee cup,clock,,
ignition,key inserted into lock,push button starter,switch flipped,spark plug firing,fuel igniting,,
ignorance,Unknowing face emoji,Question mark symbol,Blindfolded person,Person scratching head,Closed,,
ill,Hospital bed,Thermometer,Medicine bottle,Doctor’s office,Sickness symptoms,,
illumination,Lightbulb,Sunlight,Fireworks,Starry Sky,Flashlight,,
imagination,Dreamcatcher,Cloud shapes,Open book,Rainbow,Butterfly,,
immortal,Greek Gods,Mythological Creatures,Timelessness,Eternal Life,Resurrection,,
immune,Virus,Vaccine,Antibodies,White Blood Cells,Sneeze droplets,,
immunity,Shield,Vaccination syringe,Antibodies,Immune cells,Medical equipment,,
implantation,Fetus,uterus,embryo,placenta,sperm cell,,
implementation,Flowchart diagram,Code snippet,Prototype design,User interface mockup,Wireframe sketch,,
incentive,Cash reward,certificate,gift card,trophy,vacation package,,
inclusion,Diversity,Multiculturalism,Group hug,Rainbow flag,Equality symbol,,
increment,Addition,Plus Sign,Increase,Growth Chart,Arrow Upwards,,
incumbency,Government building,President sitting at desk,Political party logo,Election Ballot Box,Campaign sign,,
independence,Statue Of Liberty,Declaration Of Independence Document,Flag,Stars And Stripes,George Washington Portrait,,
independent,Self-reliant person,Business owner,Entrepreneurial spirit,Free thinker,Personal development,,
india,Taj Mahal,Sari Dress,Traditional Indian Food,Lotus flower,Buddha statue,,
indication,Road Sign,Traffic Light,Warning Triangle,Arrow Sign,Symbolic Picture,,
indifference,Face with no expression,Person ignoring someone,Shrug emoji,Uninterested person looking away,Bl,,
indignation,Shouting person,raised fist,angry face emoticon,protest signs,broken window,,
inducement,Money,Prize,Gift Card,Coupon,Loyalty Points,,
industry,Factory building,smokestacks,production line,forklift,gears,,
infancy,Baby bottle,Diaper,Stroller,Crib,Teddy Bear,,
infatuation,Heart shape,Valentine card,Roses bouquet,Candlelight dinner,Couple holding hands,,
inflation,money printing press,price tags,rising chart graph,piggy bank,grocery cart filled with food,,
inflow,River,Waterfall,Pipe,Faucet,Fountain,,
influx,Wave,Arrow pointing upwards,Crowded room,Graph showing increasing trend,Crowd forming queue,,
information,Book,Newspaper,Computer screen,Email,Website,,
initial,Book,Writing Utensil,Blank Page,Ink Blot,Parchment Paper,,
initiate,Beginning ceremony,Initiation process,New members,Rituals,Guidance,,
initiative,Light bulb,person climbing mountain,road sign pointing right,target goal,chess pieces,,
innocence,Baby picture,white doves,Angel wings,Clear sky,Rainbow,,
innocent,white dove,angel wings,halo,baby,pure heart symbol,,
inquiry,Question mark,search icon,light bulb,magnifying glass,puzzle pieces,,
inquisition,Torture tools,Catholic priest,Fire,Castle dungeon room,Burning stake,,
insight,Lightbulb,Puzzle pieces fitting together,Brainstorming session,Ah-ha moment drawing,,darkness,
inspection,Magnifying glass,measuring tape,checklist,clipboard,pen,,
instability,Earthquake,tornado,fire,stock market graph,roller coaster,,
instant,Microwave oven,coffee maker,electric kettle,fast food chain logo,stopwatch timer,,
institute,Classroom,blackboard,textbook,students,professors,,
institution,Building,Office space,Conference room,Lobby area,Employee ID cards,,
instruction,Paper sheet,Hand pointing finger at text,Diagram arrows connecting parts,Person demonstrating action,Written words,,
instrumentality,Tool,machine,device,contraption,equipment,,
insured,Insurance documents,Risk calculation chart,Insurer logo,Money transfer,Claim form,,
integrity,Honest man silhouette,hand shake between two people,scales of justice,truth symbol (eye),handshake,,
intellectual,Glasses,book,pen,paper,coffee cup,,
intellectualization,Reading books,writing papers,thinking deeply,engaging in debate,solving problems creatively,,
intelligence,Brain,Test tubes,Microscope,Diagrams,Computer screen showing complex data,,
intensity,Sun rays,Flames,Loudspeakers,Magnifying glass,Laser beam,,
interaction,conversation,touch,eye contact,gesture,smile,,
interest,Investment graph,Stock exchange screen,Percentage symbol,Money coins,Piggy bank,,
interference,Waves,Signal transmission line,Antenna array,Noise,Spectrum analysis graph,,
interlude,Piano,Violin,Cello,Sheet Music,Sound Waves,,
international,United Nations building,Passport,Airplane,Different currencies,World map,,
interpretation,Speaker icon,microphone icon,headphones icon,language icons,translation icon,,
interval,Music notes,Metronome,Time signature,Tempo markings,Rest symbol,,
intervention,Therapy session,Surgery,Medical procedure,Military operation,Emergency response,,
interview,Resume,desk,suit,tie,job offer letter,compass pointing north,
intimacy,Couple holding hands,Candlelight dinner,Hug,Kiss,Heart,,
intimate,Bedroom,candles,flowers,perfume,lingerie,,
invention,Light bulb,telephone,computer,wheel,airplane,,
investigation,Detective Hat,Magnifying Glass,Clues,Evidence,Suspects,stigmata,
irregular,Unpredictable,disorderly,chaotic,messy,out of order,,
islam,Mosque,Crescent moon and star symbol,Quran book,Arabic script writing,Islamic art patterns,,
isolation,Deserted Island,solitary confinement cell,hospital bed,empty street,abandoned building,,
january,Calendar page,cold weather,New Year's party,snowman,snowflakes,,
japan,Mount Fuji,Japanese temple,sushi,samurai sword,kanji characters,,
jealousy,Envy green color,Broken heart,Sad face,Two person fighting over something,Scissors cutting,,
job,Office building,desk,computer,phone,meeting room,,
journey,Pathway,Footprints,Traveler’s bag,Passport,Globe,,
joy,Smile,Sunshine,Music notes,Rainbow,Heart shape,,
jubilee,Celebration,Party hat,confetti,cake,fireworks,,
judge,Robes,gavel,courtroom,Law books,verdict sheet,,
judgment,Scale,Gavel,Courtroom,Law books,Jury box,Iceberg,
july,Independence day,Fourth of July fireworks,American Flag,barbeque grill,summer vacation,,
jurisdiction,Courthouse,Law book,Gavel,Judge Robe,scales of justice,,
justice,Scales of Justice,Gavel,Blindfolded Lady holding scales,Courtroom scene,Prison,,
justification,Law book,scales of justice,hammer,gavel,court room,,
keeping,Bank vault door,locked safe,key,combination lock,secret code,,
killer,Masked face,Bloody knife,Bloodstain,Rope,Skull,,
kind,helping hand,smiley face,warm hug,heart symbol,caring gesture,,
kindness,Hug,Smile,Helping hand,Sharing food,Caring gesture,,
kindred,Family members,Relatives,blood relatives,close friends,people connected through family ties,,
kleptomania,Theft,Robbery,shoplifting,crime scene tape,handcuffs,,
know,Book,computer screen,lightbulb,brain,gears,,
knowing,Library shelves,book pages turning,lightbulb icon,student writing exam answers,thought bubbles above,,
latest,Trending topics online,Social media feed,Magazine covers,Hot news stories,Top seller products,,
law,Scales,Book of Laws,Gavel,courtroom,Judge's robe,,
lawmen,Scales of justice,Courtroom,Judge gavel,Constitution document,Trial scene,,
lawyer,Law books,Gavel,courtroom,tie,briefcase,,
learning,School bus,Students sitting at desks,Professor teaching class,Books stacked high,diploma hanging from wall,,
leaving,Suitcase,Airport,Car driving away,Train departing,Empty room,,
legend,mythological creature,historical figure,Heroic deeds,Monumental building,Great leader,,
legislation,Gavel,Lawyer,Courtroom,Constitution,Supreme court building,,
legislature,Congress Building,Constitution document,Voting ballot box,Supreme Court building,Senator speaking at podium,,
leisure,Swimming pool,Couch,Reading book,Sleeping person,Yoga pose,,
lent,Abstinence,Fasting,Prayers,Fish symbol,Cross,,
lesson,Blackboard,Teacher,Students,Textbook,Desk,,
level,ruler,scale,balance beam,measuring tape,protractor,,
liability,Courtroom gavel,Contract document,Debt collection agency logo,Red X mark over money pile,,,
liberal,Rainbow flag,Peace sign,Social justice posters,Equality logo,Activism badge,,
liberty,Statue of Liberty,Freedom fighter statue,Declaration of Independence document,Flag flying in wind,Peaceful,,
lie,Pinocchio nose,broken mirror,Mask,Two-faced person,Snake tongue,,
life,Tree,Rainbow,Sun,Water drop,DNA strand,,
lifespan,Time line,Clock,Calendar,Years,Dates,,
lifetime,Watch,Birthday cake candles,Photo album,Family tree chart,Old wrinkled hands,,
limitation,Wall,Door closed,Chain around ankle,Prison Bars,Cufflinks on wrists,,
lineage,Family tree,pedigree chart,ancestry research,DNA test kit,old photo album,,
listening,Earphones,Radio,music notes,Concert audience,Loudspeaker,,
living,House,apartment,kitchen,bedroom,backyard,,
loathing,Sad face,Angry face,Broken Heart symbol,Skull and Crossbones,Frownie Face,,
locale,Map,Globe,Compass,Coordinates,Location marker,,
longing,heart,distance,yearning eyes,separation barrier,absence,,
lookup,Dictionary,search engine,encyclopedia,bookshelf,magnifying glass,,
lord,Crown,Throne,Castle,Sword,Robes,,
lost,Map,compass,GPS device,Search party,Missing poster,,
love,heart shape symbol,Cupid figure,roses bouquet,wedding ring,couple holding hands,,
lovely,flower,sunset,mountain view,smile,baby,,
low,sad face emoji,falling graph,empty glass,rain cloud,crying eyes,queen,
loyalty,dog,heart symbol,wedding rings,handshake,friendship bracelets,,
luck,Four leaf clover,horseshoe,rabbit foot,dice,coin,,
lull,Bed,pillow,Moonlight,Stars,Night sky,,
lust,red lips,heart,rose,bedroom,couple kissing,anchor,
luxury,Rolls Royce,Yacht,Private jet,Champagne glasses,Gold bars,,
madness,Joker from Batman comics,straitjacket,insane asylum,mad scientist laboratory,psychiatric medication bottle,,
magic,Wizard Hat,wand,magical sparks,rabbit coming out of hat,mysterious book,,
maintenance,wrenches,screwdrivers,tools,safety equipment,diagrams,,
majesty,Crown,Royal Scepter,Throne,Royal Seal,Robes,,
major,College degree,Graduation ceremony,diploma,graduation gown,university building,,
majority,Pie chart with large slice,Group of People,Crowd cheering,Voting box full of ballots,Majority,,
malice,Dagger,Venomous snake,Spider web,Dark alleyway,Skull,,
